,cell_id,order
0,SA532X2XB00147-A90679-R70-C21,0
1,SA532X2XB00147-A90679-R41-C59,1
2,SA532X2XB00147-A90679-R68-C21,2
3,SA532X2XB00147-A90679-R68-C20,3
4,SA532X2XB00147-A90679-R68-C23,4
5,SA532X2XB00147-A90679-R68-C22,5
6,SA532X2XB00147-A90679-R68-C25,6
7,SA532X2XB00147-A90679-R68-C24,7
8,SA532X2XB00147-A90679-R68-C26,8
9,SA532X2XB00147-A90679-R05-C28,9
10,SA532X2XB00147-A90679-R70-C24,10
11,SA532X2XB00147-A90679-R68-C13,11
12,SA532X2XB00147-A90679-R23-C44,12
13,SA532X2XB00147-A90679-R05-C23,13
14,SA532X2XB00147-A90679-R70-C25,14
15,SA532X2XB00147-A90679-R23-C40,15
16,SA532X2XB00147-A90679-R05-C27,16
17,SA532X2XB00147-A90679-R23-C42,17
18,SA532X2XB00147-A90679-R60-C21,18
19,SA532X2XB00147-A90679-R60-C20,19
20,SA532X2XB00147-A90679-R60-C23,20
21,SA532X2XB00147-A90679-R25-C70,21
22,SA532X2XB00147-A90679-R60-C25,22
23,SA532X2XB00147-A90679-R60-C24,23
24,SA532X2XB00147-A90679-R60-C26,24
25,SA532X2XB00147-A90679-R60-C11,25
26,SA532X2XB00147-A90679-R47-C32,26
27,SA532X2XB00147-A90679-R36-C59,27
28,SA532X2XB00147-A90679-R13-C32,28
29,SA532X2XB00147-A90679-R04-C05,29
30,SA532X2XB00147-A90679-R46-C33,30
31,SA532X2XB00147-A90679-R04-C07,31
32,SA532X2XB00147-A90679-R36-C52,32
33,SA532X2XB00147-A90679-R36-C55,33
34,SA532X2XB00147-A90679-R36-C54,34
35,SA532X2XB00147-A90679-R59-C47,35
36,SA532X2XB00147-A90679-R27-C43,36
37,SA532X2XB00147-A90679-R27-C45,37
38,SA532X2XB00147-A90679-R27-C46,38
39,SA532X2XB00147-A90679-R27-C47,39
40,SA532X2XB00147-A90679-R17-C65,40
41,SA532X2XB00147-A90679-R21-C40,41
42,SA532X2XB00147-A90679-R21-C46,42
43,SA532X2XB00147-A90679-R64-C51,43
44,SA532X2XB00147-A90679-R39-C67,44
45,SA532X2XB00147-A90679-R43-C36,45
46,SA532X2XB00147-A90679-R15-C45,46
47,SA532X2XB00147-A90679-R15-C44,47
48,SA532X2XB00147-A90679-R15-C43,48
49,SA532X2XB00147-A90679-R33-C70,49
50,SA532X2XB00147-A90679-R15-C40,50
51,SA532X2XB00147-A90679-R66-C14,51
52,SA532X2XB00147-A90679-R08-C15,52
53,SA532X2XB00147-A90679-R13-C48,53
54,SA532X2XB00147-A90679-R41-C55,54
55,SA532X2XB00147-A90679-R65-C15,55
56,SA532X2XB00147-A90679-R68-C53,56
57,SA532X2XB00147-A90679-R40-C40,57
58,SA532X2XB00147-A90679-R37-C23,58
59,SA532X2XB00147-A90679-R71-C18,59
60,SA532X2XB00147-A90679-R71-C19,60
61,SA532X2XB00147-A90679-R71-C16,61
62,SA532X2XB00147-A90679-R70-C22,62
63,SA532X2XB00147-A90679-R71-C14,63
64,SA532X2XB00147-A90679-R71-C15,64
65,SA532X2XB00147-A90679-R71-C12,65
66,SA532X2XB00147-A90679-R68-C12,66
67,SA532X2XB00147-A90679-R71-C11,67
68,SA532X2XB00147-A90679-R16-C39,68
69,SA532X2XB00147-A90679-R36-C12,69
70,SA532X2XB00147-A90679-R46-C30,70
71,SA532X2XB00147-A90679-R07-C19,71
72,SA532X2XB00147-A90679-R59-C49,72
73,SA532X2XB00147-A90679-R69-C48,73
74,SA532X2XB00147-A90679-R69-C49,74
75,SA532X2XB00147-A90679-R07-C14,75
76,SA532X2XB00147-A90679-R07-C16,76
77,SA532X2XB00147-A90679-R07-C10,77
78,SA532X2XB00147-A90679-R07-C68,78
79,SA532X2XB00147-A90679-R65-C50,79
80,SA532X2XB00147-A90679-R65-C53,80
81,SA532X2XB00147-A90679-R65-C52,81
82,SA532X2XB00147-A90679-R65-C55,82
83,SA532X2XB00147-A90679-R65-C54,83
84,SA532X2XB00147-A90679-R65-C57,84
85,SA532X2XB00147-A90679-R65-C56,85
86,SA532X2XB00147-A90679-R42-C50,86
87,SA532X2XB00147-A90679-R65-C58,87
88,SA532X2XB00147-A90679-R68-C17,88
89,SA532X2XB00147-A90679-R68-C18,89
90,SA532X2XB00147-A90679-R07-C66,90
91,SA532X2XB00147-A90679-R42-C57,91
92,SA532X2XB00147-A90679-R27-C35,92
93,SA532X2XB00147-A90679-R27-C34,93
94,SA532X2XB00147-A90679-R10-C68,94
95,SA532X2XB00147-A90679-R27-C30,95
96,SA532X2XB00147-A90679-R33-C01,96
97,SA532X2XB00147-A90679-R43-C67,97
98,SA532X2XB00147-A90679-R41-C20,98
99,SA532X2XB00147-A90679-R10-C60,99
100,SA532X2XB00147-A90679-R44-C22,100
101,SA532X2XB00147-A90679-R33-C08,101
102,SA532X2XB00147-A90679-R60-C16,102
103,SA532X2XB00147-A90679-R62-C18,103
104,SA532X2XB00147-A90679-R38-C54,104
105,SA532X2XB00147-A90679-R48-C70,105
106,SA532X2XB00147-A90679-R62-C13,106
107,SA532X2XB00147-A90679-R68-C19,107
108,SA532X2XB00147-A90679-R62-C11,108
109,SA532X2XB00147-A90679-R62-C16,109
110,SA532X2XB00147-A90679-R62-C17,110
111,SA532X2XB00147-A90679-R62-C14,111
112,SA532X2XB00147-A90679-R62-C15,112
113,SA532X2XB00147-A90679-R46-C06,113
114,SA532X2XB00147-A90679-R60-C22,114
115,SA532X2XB00147-A90679-R64-C60,115
116,SA532X2XB00147-A90679-R32-C20,116
117,SA532X2XB00147-A90679-R32-C21,117
118,SA532X2XB00147-A90679-R63-C60,118
119,SA532X2XB00147-A90679-R32-C23,119
120,SA532X2XB00147-A90679-R06-C29,120
121,SA532X2XB00147-A90679-R06-C28,121
122,SA532X2XB00147-A90679-R32-C26,122
123,SA532X2XB00147-A90679-R32-C27,123
124,SA532X2XB00147-A90679-R43-C15,124
125,SA532X2XB00147-A90679-R06-C51,125
126,SA532X2XB00147-A90679-R70-C15,126
127,SA532X2XB00147-A90679-R29-C30,127
128,SA532X2XB00147-A90679-R70-C13,128
129,SA532X2XB00147-A90679-R34-C41,129
130,SA532X2XB00147-A90679-R43-C13,130
131,SA532X2XB00147-A90679-R19-C71,131
132,SA532X2XB00147-A90679-R41-C37,132
133,SA532X2XB00147-A90679-R64-C52,133
134,SA532X2XB00147-A90679-R70-C18,134
135,SA532X2XB00147-A90679-R64-C47,135
136,SA532X2XB00147-A90679-R09-C29,136
137,SA532X2XB00147-A90679-R35-C52,137
138,SA532X2XB00147-A90679-R64-C49,138
139,SA532X2XB00147-A90679-R09-C21,139
140,SA532X2XB00147-A90679-R32-C59,140
141,SA532X2XB00147-A90679-R69-C21,141
142,SA532X2XB00147-A90679-R66-C23,142
143,SA532X2XB00147-A90679-R66-C22,143
144,SA532X2XB00147-A90679-R66-C21,144
145,SA532X2XB00147-A90679-R66-C20,145
146,SA532X2XB00147-A90679-R66-C26,146
147,SA532X2XB00147-A90679-R66-C25,147
148,SA532X2XB00147-A90679-R66-C24,148
149,SA532X2XB00147-A90679-R44-C49,149
150,SA532X2XB00147-A90679-R36-C64,150
151,SA532X2XB00147-A90679-R37-C36,151
152,SA532X2XB00147-A90679-R23-C09,152
153,SA532X2XB00147-A90679-R46-C27,153
154,SA532X2XB00147-A90679-R37-C32,154
155,SA532X2XB00147-A90679-R14-C29,155
156,SA532X2XB00147-A90679-R37-C30,156
157,SA532X2XB00147-A90679-R42-C35,157
158,SA532X2XB00147-A90679-R33-C54,158
159,SA532X2XB00147-A90679-R70-C11,159
160,SA532X2XB00147-A90679-R12-C26,160
161,SA532X2XB00147-A90679-R12-C27,161
162,SA532X2XB00147-A90679-R67-C16,162
163,SA532X2XB00147-A90679-R25-C33,163
164,SA532X2XB00147-A90679-R12-C23,164
165,SA532X2XB00147-A90679-R12-C20,165
166,SA532X2XB00147-A90679-R66-C48,166
167,SA532X2XB00147-A90679-R22-C23,167
168,SA532X2XB00147-A90679-R48-C04,168
169,SA532X2XB00147-A90679-R31-C32,169
170,SA532X2XB00147-A90679-R22-C20,170
171,SA532X2XB00147-A90679-R22-C27,171
172,SA532X2XB00147-A90679-R22-C25,172
173,SA532X2XB00147-A90679-R22-C24,173
174,SA532X2XB00147-A90679-R33-C55,174
175,SA532X2XB00147-A90679-R23-C71,175
176,SA532X2XB00147-A90679-R05-C56,176
177,SA532X2XB00147-A90679-R62-C52,177
178,SA532X2XB00147-A90679-R05-C59,178
179,SA532X2XB00147-A90679-R05-C58,179
180,SA532X2XB00147-A90679-R41-C25,180
181,SA532X2XB00147-A90679-R47-C37,181
182,SA532X2XB00147-A90679-R67-C11,182
183,SA532X2XB00147-A90679-R47-C33,183
184,SA532X2XB00147-A90679-R30-C68,184
185,SA532X2XB00147-A90679-R47-C30,185
186,SA532X2XB00147-A90679-R03-C46,186
187,SA532X2XB00147-A90679-R31-C49,187
188,SA532X2XB00147-A90679-R31-C48,188
189,SA532X2XB00147-A90679-R39-C64,189
190,SA532X2XB00147-A90679-R46-C05,190
191,SA532X2XB00147-A90679-R46-C49,191
192,SA532X2XB00147-A90679-R46-C48,192
193,SA532X2XB00147-A90679-R31-C41,193
194,SA532X2XB00147-A90679-R36-C08,194
195,SA532X2XB00147-A90679-R59-C48,195
196,SA532X2XB00147-A90679-R13-C08,196
197,SA532X2XB00147-A90679-R32-C49,197
198,SA532X2XB00147-A90679-R02-C57,198
199,SA532X2XB00147-A90679-R41-C15,199
200,SA532X2XB00147-A90679-R30-C17,200
201,SA532X2XB00147-A90679-R65-C49,201
202,SA532X2XB00147-A90679-R69-C54,202
203,SA532X2XB00147-A90679-R42-C63,203
204,SA532X2XB00147-A90679-R32-C01,204
205,SA532X2XB00147-A90679-R07-C55,205
206,SA532X2XB00147-A90679-R07-C54,206
207,SA532X2XB00147-A90679-R07-C59,207
208,SA532X2XB00147-A90679-R69-C26,208
209,SA532X2XB00147-A90679-R10-C19,209
210,SA532X2XB00147-A90679-R70-C61,210
211,SA532X2XB00147-A90679-R10-C18,211
212,SA532X2XB00147-A90679-R11-C10,212
213,SA532X2XB00147-A90679-R15-C17,213
214,SA532X2XB00147-A90679-R12-C37,214
215,SA532X2XB00147-A90679-R17-C36,215
216,SA532X2XB00147-A90679-R17-C37,216
217,SA532X2XB00147-A90679-R17-C30,217
218,SA532X2XB00147-A90679-R17-C33,218
219,SA532X2XB00147-A90679-R10-C28,219
220,SA532X2XB00147-A90679-R33-C14,220
221,SA532X2XB00147-A90679-R17-C39,221
222,SA532X2XB00147-A90679-R67-C48,222
223,SA532X2XB00147-A90679-R29-C16,223
224,SA532X2XB00147-A90679-R40-C17,224
225,SA532X2XB00147-A90679-R67-C15,225
226,SA532X2XB00147-A90679-R62-C47,226
227,SA532X2XB00147-A90679-R25-C02,227
228,SA532X2XB00147-A90679-R61-C26,228
229,SA532X2XB00147-A90679-R35-C23,229
230,SA532X2XB00147-A90679-R68-C16,230
231,SA532X2XB00147-A90679-R67-C49,231
232,SA532X2XB00147-A90679-R10-C54,232
233,SA532X2XB00147-A90679-R10-C57,233
234,SA532X2XB00147-A90679-R31-C24,234
235,SA532X2XB00147-A90679-R10-C50,235
236,SA532X2XB00147-A90679-R10-C52,236
237,SA532X2XB00147-A90679-R28-C45,237
238,SA532X2XB00147-A90679-R10-C58,238
239,SA532X2XB00147-A90679-R28-C41,239
240,SA532X2XB00147-A90679-R26-C30,240
241,SA532X2XB00147-A90679-R19-C38,241
242,SA532X2XB00147-A90679-R46-C28,242
243,SA532X2XB00147-A90679-R26-C34,243
244,SA532X2XB00147-A90679-R26-C35,244
245,SA532X2XB00147-A90679-R45-C28,245
246,SA532X2XB00147-A90679-R26-C37,246
247,SA532X2XB00147-A90679-R19-C32,247
248,SA532X2XB00147-A90679-R26-C39,248
249,SA532X2XB00147-A90679-R19-C30,249
250,SA532X2XB00147-A90679-R31-C20,250
251,SA532X2XB00147-A90679-R19-C36,251
252,SA532X2XB00147-A90679-R19-C37,252
253,SA532X2XB00147-A90679-R33-C52,253
254,SA532X2XB00147-A90679-R19-C35,254
255,SA532X2XB00147-A90679-R63-C13,255
256,SA532X2XB00147-A90679-R63-C12,256
257,SA532X2XB00147-A90679-R63-C11,257
258,SA532X2XB00147-A90679-R63-C17,258
259,SA532X2XB00147-A90679-R63-C16,259
260,SA532X2XB00147-A90679-R32-C17,260
261,SA532X2XB00147-A90679-R63-C14,261
262,SA532X2XB00147-A90679-R22-C65,262
263,SA532X2XB00147-A90679-R63-C18,263
264,SA532X2XB00147-A90679-R38-C01,264
265,SA532X2XB00147-A90679-R65-C60,265
266,SA532X2XB00147-A90679-R24-C54,266
267,SA532X2XB00147-A90679-R02-C33,267
268,SA532X2XB00147-A90679-R24-C50,268
269,SA532X2XB00147-A90679-R18-C39,269
270,SA532X2XB00147-A90679-R18-C33,270
271,SA532X2XB00147-A90679-R66-C62,271
272,SA532X2XB00147-A90679-R66-C61,272
273,SA532X2XB00147-A90679-R66-C60,273
274,SA532X2XB00147-A90679-R06-C69,274
275,SA532X2XB00147-A90679-R26-C44,275
276,SA532X2XB00147-A90679-R26-C41,276
277,SA532X2XB00147-A90679-R35-C26,277
278,SA532X2XB00147-A90679-R26-C43,278
279,SA532X2XB00147-A90679-R35-C28,279
280,SA532X2XB00147-A90679-R26-C48,280
281,SA532X2XB00147-A90679-R06-C67,281
282,SA532X2XB00147-A90679-R34-C72,282
283,SA532X2XB00147-A90679-R48-C41,283
284,SA532X2XB00147-A90679-R48-C40,284
285,SA532X2XB00147-A90679-R62-C61,285
286,SA532X2XB00147-A90679-R62-C60,286
287,SA532X2XB00147-A90679-R64-C18,287
288,SA532X2XB00147-A90679-R64-C19,288
289,SA532X2XB00147-A90679-R48-C47,289
290,SA532X2XB00147-A90679-R64-C14,290
291,SA532X2XB00147-A90679-R48-C48,291
292,SA532X2XB00147-A90679-R64-C16,292
293,SA532X2XB00147-A90679-R35-C65,293
294,SA532X2XB00147-A90679-R64-C11,294
295,SA532X2XB00147-A90679-R64-C12,295
296,SA532X2XB00147-A90679-R64-C13,296
297,SA532X2XB00147-A90679-R60-C18,297
298,SA532X2XB00147-A90679-R38-C21,298
299,SA532X2XB00147-A90679-R61-C60,299
300,SA532X2XB00147-A90679-R30-C52,300
301,SA532X2XB00147-A90679-R61-C62,301
302,SA532X2XB00147-A90679-R23-C39,302
303,SA532X2XB00147-A90679-R13-C46,303
304,SA532X2XB00147-A90679-R14-C18,304
305,SA532X2XB00147-A90679-R05-C10,305
306,SA532X2XB00147-A90679-R67-C14,306
307,SA532X2XB00147-A90679-R44-C39,307
308,SA532X2XB00147-A90679-R14-C10,308
309,SA532X2XB00147-A90679-R14-C12,309
310,SA532X2XB00147-A90679-R71-C26,310
311,SA532X2XB00147-A90679-R63-C56,311
312,SA532X2XB00147-A90679-R14-C61,312
313,SA532X2XB00147-A90679-R14-C62,313
314,SA532X2XB00147-A90679-R62-C48,314
315,SA532X2XB00147-A90679-R39-C27,315
316,SA532X2XB00147-A90679-R39-C26,316
317,SA532X2XB00147-A90679-R36-C48,317
318,SA532X2XB00147-A90679-R39-C24,318
